sku,range,size,mounted,print_px,megapixels,window_ratio,item_aud,ship_aud,landed_aud,lab,carrier,frame_colours
GLOBAL-CFPM-A2,GLOBAL-CFPM,A2,true,3780x5835,22.1,1.544,95,15.1,110.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-16x24,GLOBAL-BOX,16x24,false,4800x7200,34.6,1.5,95,15.1,110.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-A2,GLOBAL-BOX,A2,false,9921x14031,139.2,1.414,95,15.1,110.10,AU,Australia Post,"black natural white"
GLOBAL-CFP-24x24,GLOBAL-CFP,24x24,false,7200x7200,51.8,1,100,15.1,115.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-20x20,GLOBAL-BOX,20x20,false,6000x6000,36,1,100,15.1,115.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-18x24,GLOBAL-BOX,18x24,false,5400x7200,38.9,1.333,100,15.1,115.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-16x24,GLOBAL-BOXM,16x24,true,3600x6000,21.6,1.667,100,15.1,115.10,AU,Australia Post,"black natural white"
GLOBAL-CFPM-24x24,GLOBAL-CFPM,24x24,true,6000x6000,36,1,105,15.1,120.10,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-20x28,GLOBAL-CFPM,20x28,true,4800x7200,34.6,1.5,105,21.55,126.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-A2,GLOBAL-BOXM,A2,true,3780x5835,22.1,1.544,105,15.1,120.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-20x30,GLOBAL-BOX,20x30,false,6000x9000,54,1.5,106.98,216.63,323.61,GB,DHL Express,"black natural white"
GLOBAL-BOXM-18x24,GLOBAL-BOXM,18x24,true,4200x6000,25.2,1.429,110,15.1,125.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-24x32,GLOBAL-BOX,24x32,false,7200x9600,69.1,1.333,114.58,216.56,331.14,GB,DHL Express,"black natural white"
GLOBAL-CFP-24x32,GLOBAL-CFP,24x32,false,7200x9600,69.1,1.333,115,21.55,136.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-20x30,GLOBAL-CFP,20x30,false,6000x9000,54,1.5,115,21.55,136.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-A1,GLOBAL-CFP,A1,false,7020x9930,69.7,1.415,115,21.55,136.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-24x24,GLOBAL-BOX,24x24,false,7200x7200,51.8,1,115,15.1,130.10,AU,Australia Post,"black natural white"
GLOBAL-BOX-20x28,GLOBAL-BOX,20x28,false,6000x8400,50.4,1.4,115,21.55,136.55,AU,Australia Post,"black natural white"
GLOBAL-BOXM-20x20,GLOBAL-BOXM,20x20,true,4800x4800,23,1,115,15.1,130.10,AU,Australia Post,"black natural white"
GLOBAL-BOXM-20x30,GLOBAL-BOXM,20x30,true,4800x7800,37.4,1.625,118.44,216.63,335.07,GB,DHL Express,"black natural white"
GLOBAL-BOXM-20x28,GLOBAL-BOXM,20x28,true,4800x7200,34.6,1.5,122.5,21.55,144.05,AU,Australia Post,"black natural white"
GLOBAL-BOXM-24x24,GLOBAL-BOXM,24x24,true,6000x6000,36,1,125,15.1,140.10,AU,Australia Post,"black natural white"
GLOBAL-CFPM-20x30,GLOBAL-CFPM,20x30,true,4800x7800,37.4,1.625,130,21.55,151.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-30x30,GLOBAL-CFP,30x30,false,9000x9000,81,1,135,21.55,156.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFP-24x36,GLOBAL-CFP,24x36,false,7200x10800,77.8,1.5,135,21.55,156.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-24x32,GLOBAL-CFPM,24x32,true,6000x8400,50.4,1.4,140,21.55,161.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-A1,GLOBAL-CFPM,A1,true,5895x8805,51.9,1.494,140,21.55,161.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-24x36,GLOBAL-BOX,24x36,false,7200x10800,77.8,1.5,140,21.55,161.55,AU,Australia Post,"black natural white"
GLOBAL-BOX-A1,GLOBAL-BOX,A1,false,7020x9930,69.7,1.415,140,21.55,161.55,AU,Australia Post,"black natural white"
GLOBAL-BOXM-24x32,GLOBAL-BOXM,24x32,true,6000x8400,50.4,1.4,143.27,216.56,359.83,GB,DHL Express,"black natural white"
GLOBAL-BOXM-A1,GLOBAL-BOXM,A1,true,5835x8751,51.1,1.5,145,21.55,166.55,AU,Australia Post,"black natural white"
GLOBAL-CFPM-24x36,GLOBAL-CFPM,24x36,true,6000x9600,57.6,1.6,150,21.55,171.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-30x30,GLOBAL-BOX,30x30,false,9000x9000,81,1,150,21.55,171.55,AU,Australia Post,"black natural white"
GLOBAL-CFP-28x40,GLOBAL-CFP,28x40,false,8400x12000,100.8,1.429,160,108,268.00,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-30x30,GLOBAL-CFPM,30x30,true,7800x7800,60.8,1,160,21.55,181.55,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-28x40,GLOBAL-BOX,28x40,false,8400x12000,100.8,1.429,160,108,268.00,AU,Australia Post,"black natural white"
GLOBAL-CFP-30x40,GLOBAL-CFP,30x40,false,9000x12000,108,1.333,170,108,278.00,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-CFPM-28x40,GLOBAL-CFPM,28x40,true,7200x10800,77.8,1.5,170,108,278.00,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOX-30x40,GLOBAL-BOX,30x40,false,9000x12000,108,1.333,170,108,278.00,AU,Australia Post,"black natural white"
GLOBAL-BOXM-30x30,GLOBAL-BOXM,30x30,true,7800x7800,60.8,1,170,21.55,191.55,AU,Australia Post,"black natural white"
GLOBAL-BOXM-24x36,GLOBAL-BOXM,24x36,true,6000x9600,57.6,1.6,170,21.55,191.55,AU,Australia Post,"black natural white"
GLOBAL-CFPM-30x40,GLOBAL-CFPM,30x40,true,7800x10800,84.2,1.385,180,108,288.00,AU,Australia Post,"black brown dark grey gold light grey natural silver white"
GLOBAL-BOXM-28x40,GLOBAL-BOXM,28x40,true,7200x10800,77.8,1.5,180,108,288.00,AU,Australia Post,"black natural white"
GLOBAL-BOXM-30x40,GLOBAL-BOXM,30x40,true,7800x10800,84.2,1.385,185,108,293.00,AU,Australia Post,"black natural white"
GLOBAL-BOX-6x6,GLOBAL-BOX,6x6,false,,,,,,,,,"black natural white"
GLOBAL-BOXM-6x6,GLOBAL-BOXM,6x6,true,,,,,,,,,"black natural white"
